iter	Passed	Remaining
0	1	133
1	2	120
2	3	117
3	4	109
4	5	108
5	6	106
6	7	99
7	8	93
8	8	87
9	9	83
10	9	79
11	10	76
12	11	74
13	11	71
14	12	69
15	12	67
16	13	65
17	14	64
18	14	62
19	15	60
20	15	59
21	16	58
22	17	56
23	17	55
24	18	55
25	18	54
26	19	53
27	20	52
28	21	51
29	21	50
30	22	50
31	23	49
32	23	48
33	24	47
34	25	46
35	25	45
36	26	45
37	27	44
38	27	43
39	28	42
40	29	41
41	29	40
42	29	39
43	30	39
44	31	38
45	32	37
46	32	36
47	33	36
48	33	35
49	34	34
50	35	33
51	35	32
52	36	32
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	39	27
59	40	26
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	44	22
66	44	22
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	48	17
73	49	17
74	49	16
75	50	15
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	54	11
83	55	10
84	56	9
85	56	9
86	57	8
87	58	7
88	58	7
89	59	6
90	60	5
91	60	5
92	61	4
93	61	3
94	62	3
95	63	2
96	63	1
97	64	1
98	64	0
99	65	0
